Season,HarvestDate,NoOfBins,cumBins,PlotDate
2023,2023-03-09,1118,12262,2024-03-09
2023,2023-03-10,849,13111,2024-03-10
2023,2023-03-11,684,13795,2024-03-11
2023,2023-03-12,226,14021,2024-03-12
2023,2023-03-13,557,14578,2024-03-13
2023,2023-03-14,754,15332,2024-03-14
2023,2023-03-15,782,16114,2024-03-15
2023,2023-03-16,847,16961,2024-03-16
2023,2023-03-17,862,17823,2024-03-17
2023,2023-03-18,858,18681,2024-03-18
2023,2023-03-19,223,18904,2024-03-19
2023,2023-03-20,927,19831,2024-03-20
2023,2023-03-21,1011,20842,2024-03-21
2023,2023-03-22,951,21793,2024-03-22
2023,2023-03-23,665,22458,2024-03-23
2023,2023-03-24,656,23114,2024-03-24
2023,2023-03-25,322,23436,2024-03-25
2023,2023-03-26,50,23486,2024-03-26
2023,2023-03-27,678,24164,2024-03-27
2023,2023-03-28,688,24852,2024-03-28
2023,2023-03-29,726,25578,2024-03-29
2023,2023-03-30,605,26183,2024-03-30
2023,2023-03-31,712,26895,2024-03-31
2023,2023-04-01,478,27373,2024-04-01
2023,2023-04-03,392,27765,2024-04-03
2023,2023-04-04,237,28002,2024-04-04
2023,2023-04-05,236,28238,2024-04-05
2023,2023-04-06,200,28438,2024-04-06
2024,2024-02-15,14,14,2024-02-15
2024,2024-02-16,35,49,2024-02-16
2024,2024-02-19,196,245,2024-02-19
2024,2024-02-20,370,615,2024-02-20
2024,2024-02-21,403,1018,2024-02-21
2024,2024-02-22,565,1583,2024-02-22
2024,2024-02-23,602,2185,2024-02-23
2024,2024-02-24,419,2604,2024-02-24
2024,2024-02-26,914,3518,2024-02-26
2024,2024-02-27,1046,4564,2024-02-27
2024,2024-02-28,1001,5565,2024-02-28
2024,2024-02-29,999,6564,2024-02-29
2024,2024-03-01,1238,7802,2024-03-01
2024,2024-03-02,1078,8880,2024-03-02
2024,2024-03-03,802,9682,2024-03-03
2024,2024-03-04,1393,11075,2024-03-04
2024,2024-03-05,1678,12753,2024-03-05
2024,2024-03-06,1999,14752,2024-03-06
2024,2024-03-07,1934,16686,2024-03-07
2024,2024-03-08,1825,18511,2024-03-08
2024,2024-03-09,1372,19883,2024-03-09
2024,2024-03-10,372,20255,2024-03-10
2024,2024-03-11,1794,22049,2024-03-11
2024,2024-03-12,1727,23776,2024-03-12
2024,2024-03-13,2032,25808,2024-03-13
2024,2024-03-14,2071,27879,2024-03-14
2024,2024-03-15,1156,29035,2024-03-15
2024,2024-03-16,1993,31028,2024-03-16
2024,2024-03-17,1015,32043,2024-03-17
2024,2024-03-18,1939,33982,2024-03-18
2024,2024-03-19,1707,35689,2024-03-19
2024,2024-03-20,1915,37604,2024-03-20
2024,2024-03-21,2068,39672,2024-03-21
2024,2024-03-22,2144,41816,2024-03-22
2024,2024-03-23,1665,43481,2024-03-23
2024,2024-03-24,385,43866,2024-03-24
2024,2024-03-25,1655,45521,2024-03-25
2024,2024-03-26,1893,47414,2024-03-26
2024,2024-03-27,1988,49402,2024-03-27
2024,2024-03-28,1890,51292,2024-03-28
2024,2024-03-29,1368,52660,2024-03-29
2024,2024-03-30,547,53207,2024-03-30
2024,2024-03-31,440,53647,2024-03-31
2024,2024-04-01,160,53807,2024-04-01
2024,2024-04-02,996,54803,2024-04-02
2024,2024-04-03,1229,56032,2024-04-03
2024,2024-04-04,882,56914,2024-04-04
2024,2024-04-05,676,57590,2024-04-05
2024,2024-04-06,467,58057,2024-04-06
2025,2025-02-11,159,159,2024-02-11
2025,2025-02-12,586,745,2024-02-12
2025,2025-02-13,1002,1747,2024-02-13
2025,2025-02-14,1123,2870,2024-02-14
2025,2025-02-15,1166,4036,2024-02-15
2025,2025-02-16,763,4799,2024-02-16
2025,2025-02-17,822,5621,2024-02-17
2025,2025-02-18,1232,6853,2024-02-18
2025,2025-02-19,1765,8618,2024-02-19
2025,2025-02-20,1526,10144,2024-02-20
2025,2025-02-21,1223,11367,2024-02-21
2025,2025-02-22,782,12149,2024-02-22
2025,2025-02-23,243,12392,2024-02-23
2025,2025-02-24,1838,14230,2024-02-24
2025,2025-02-25,2021,16251,2024-02-25
2025,2025-02-26,1874,18125,2024-02-26
2025,2025-02-27,1876,20001,2024-02-27
2025,2025-02-28,2012,22013,2024-02-28
2025,2025-03-01,1073,23086,2024-03-01
2025,2025-03-02,185,23271,2024-03-02
2025,2025-03-03,2013,25284,2024-03-03
2025,2025-03-04,2112,27396,2024-03-04
2025,2025-03-05,1454,28850,2024-03-05
2025,2025-03-06,2070,30920,2024-03-06
2025,2025-03-07,2277,33197,2024-03-07
2025,2025-03-08,1970,35167,2024-03-08
2025,2025-03-09,676,35843,2024-03-09
2025,2025-03-10,2388,38231,2024-03-10
2025,2025-03-11,2380,40611,2024-03-11
2025,2025-03-12,2443,43054,2024-03-12
2025,2025-03-13,2429,45483,2024-03-13
2025,2025-03-14,2857,48340,2024-03-14
2025,2025-03-15,1930,50270,2024-03-15
2025,2025-03-16,818,51088,2024-03-16
2025,2025-03-17,1699,52787,2024-03-17
2025,2025-03-18,1979,54766,2024-03-18
2025,2025-03-19,2139,56905,2024-03-19
2025,2025-03-20,1645,58550,2024-03-20
2025,2025-03-21,1147,59697,2024-03-21
2025,2025-03-22,795,60492,2024-03-22
2025,2025-03-23,114,60606,2024-03-23
2025,2025-03-24,1154,61760,2024-03-24
2025,2025-03-25,864,62624,2024-03-25
2025,2025-03-26,947,63571,2024-03-26
2025,2025-03-27,661,64232,2024-03-27
2025,2025-03-28,88,64320,2024-03-28
2025,2025-03-29,309,64629,2024-03-29
2025,2025-03-30,24,64653,2024-03-30
2025,2025-03-31,93,64746,2024-03-31
2025,2025-04-01,64,64810,2024-04-01
2025,2025-04-02,256,65066,2024-04-02
2025,2025-04-04,17,65083,2024-04-04
